Artist,Word_Count
"Crosby, Stills, Nash & Young",15187
Christopher Cross,5863
Sheryl Crow,13432
Crowded House,10370
The Cult,14660
The Cure,16415
Damn Yankees (band),2389
Charlie Daniels,7403
Dashboard Confessional,5750
Daughtry (band),8043
The Dave Clark Five,3833
Dave Matthews Band,12304
Days of the New,5773
Death Cab for Cutie,9983
Deep Purple,22174
Def Leppard,16372
Deftones,20474
Depeche Mode,21013
Bo Diddley,12446
Dio (band),4849
Dire Straits,12271
Disturbed (band),11502
Fats Domino,8271
Donovan,11510
The Doobie Brothers,11037
The Doors,15580
Dr. Hook & the Medicine Show,9
Dropkick Murphys,14328
Drowning Pool,5439
Duran Duran,20025
Ian Dury,8075
Bob Dylan,43544
Eagles (band),16369
Echo & the Bunnymen,7507
Duane Eddy,9343
Edgar Winter,5650
Electric Light Orchestra,9198
"Emerson, Lake & Palmer",10082
England Dan & John Ford Coley,2179
Melissa Etheridge,8477
Europe (band),8347
Evanescence,29022
Everclear (band),5891
Everlast,3969
The Everly Brothers,8708
Extreme (band),3898
Faces (band),6141
Faith No More,15645
Fall Out Boy,37469
Bryan Ferry,11664
Filter (band),7820
Finger Eleven,5585
FireHouse,3564
Five Finger Death Punch,16686
Five for Fighting,10709
The Fixx,1746
The Flaming Lips,11363
Fleetwood Mac,19997
Flogging Molly,2467
Florence and the Machine,17353
Flyleaf (band),7433
Foals (band),6661
Dan Fogelberg,3338
John Fogerty,8487
Foo Fighters,19520
Foreigner (band),12128
Foster the People,10636
The Four Seasons (band),14306
Peter Frampton,9192
Franz Ferdinand (band),8443
The Fray,8726
Glenn Frey,8349
Fuel (band),5538
Fun (band),3878
Funkadelic,2773
Peter Gabriel,20241
Garbage (band),16145
Genesis (band),24104
Ghost (Swedish band),26019
Gin Blossoms,4742
Gary Glitter,14184
The Go-Go's,6679
Godsmack,13981
Golden Earring,3562
Goo Goo Dolls,7975
Good Charlotte,12595
Grand Funk Railroad,5419
Grateful Dead,20347
Great White,9546
Green Day,34089
Greta Van Fleet,9617
The Guess Who,7275
Guns N' Roses,60189
Halestorm,5380
Bill Haley & His Comets,9663
Hall & Oates,12197
George Harrison,26751
Heart (band),12739
Jimi Hendrix,25789
Don Henley,10716
Herman's Hermits,6495
Highly Suspect,4583
Hinder,6348
The Hives,6110
Hole (band),15436
The Hollies,6337
Buddy Holly,10308
Hoobastank,4476
Hootie & the Blowfish,4444
Icehouse (band),9513
Billy Idol,11324
Imagine Dragons,17485
Incubus (band),11137
Interpol (band),6244
INXS,13896
Iron Maiden,13065
The J. Geils Band,4964
The Jam,8165
Tommy James and the Shondells,3894
Jane's Addiction,13615
Jefferson Airplane,12606
Jefferson Starship,10094
The Jesus and Mary Chain,9012
Jet (Australian band),13
Jethro Tull (band),12099
Joan Jett,11462
Jimmy Eat World,7675
Billy Joel,28476
Elton John,41000
Janis Joplin,21811
Journey (band),13340
Joy Division,8915
Judas Priest,22491
Kaiser Chiefs,6840
Kaleo (band),6127
Kansas (band),7317
Keane (band),9387
Kid Rock,17648
The Killers,19908
Killswitch Engage,14995
Kings of Leon,7625
The Kinks,19211
Kiss (band),27568
Korn,29770
Lenny Kravitz,12899
Lacuna Coil,6913
Lamb of God (band),16200
Avril Lavigne,27361
Led Zeppelin,21673
John Lennon,23552
Huey Lewis and the News,5556
Jerry Lee Lewis,14339
Lifehouse (band),6469
Limp Bizkit,30476
Linkin Park,38197
Little Richard,23737
Little River Band,9067
Live (band),5407
Living Colour,5535
Kenny Loggins,7178
Loverboy,3368
The Lovin' Spoonful,26986
The Lumineers,9575
Lynyrd Skynyrd,8700
The Mamas & the Papas,7799
Manfred Mann,4154
Manfred Mann (musician),2366
Manfred Mann's Earth Band,6464
Manfred Mann Chapter Three,496
Marilyn Manson,36090
Marilyn Manson (band),45318
The Marshall Tucker Band,7203
Matchbox Twenty,5779
John Mayer,27337
John Mayall,6153
John Mayall & the Bluesbreakers,1749
Paul McCartney,42166
Meat Loaf,19381
Megadeth,28962
John Mellencamp,15011
Men at Work,7025
Metallica,34159
Midnight Oil,17411
Mike and the Mechanics,4096
Modest Mouse,6584
Eddie Money,5454
The Monkees,17067
Montgomery Gentry,8644
The Moody Blues,13887
Alanis Morissette,18523
Van Morrison,30775
Morrissey,30674
The Mothers of Invention,8221
Mötley Crüe,30442
Motörhead,21153
Mudvayne,7588
Mumford & Sons,11017
Michael Martin Murphey,6169
Muse (band),15502
My Chemical Romance,28186
New York Dolls,10499
Nickelback,12927
Stevie Nicks,22761
Harry Nilsson,8492
Nine Inch Nails,36884
Nirvana (band),15273
No Doubt,10713
Ted Nugent,17780
Oasis (band),20158
The Offspring,17132
Roy Orbison,15765
Ozzy Osbourne,33118
Our Lady Peace,9420
The Outfield,5758
P.O.D.,7806
Panic! at the Disco,21956
Pantera,16375
Papa Roach,16828
Paramore,30220
Parliament (band),1491
Parliament-Funkadelic,4838
Pearl Jam,20903
A Perfect Circle,13936
Tom Petty,14707
Tom Petty and the Heartbreakers,6454
Pink Floyd,30452
Pixies (band),15351
Robert Plant,14209
Poison (American band),9
The Police,12324
Iggy Pop,16827
Pop Evil,3737
The Presidents of the United States of America (band),4046
The Pretenders,4335
Elvis Presley,34317
The Pretty Reckless,13868
Primus (band),14121
Puddle of Mudd,8486
Queen (band),44746
Queens of the Stone Age,13949
Queensrÿche,12254
Quiet Riot,10525
R.E.M.,19225
Radiohead,33760
Rage Against the Machine,17489
Rainbow (rock band),5714
Rammstein,16645
Ramones,17950
Red Hot Chili Peppers,23934
Lou Reed,15300
REO Speedwagon,5693
Chris Rea,10809
Rise Against,17653
Sixto Rodriguez,7078
The Rolling Stones,41759
Linda Ronstadt,29570
Roxy Music,9586
Royal Blood (band),5244
Run-DMC,8614
Rush (band),25370
Mitch Ryder,2409
Saliva (band),6373
Sam Fender,27636
Santana (band),7237
Joe Satriani,8730
Saving Abel,2300
Scorpions (band),9902
The Script,6813
Seether,7079
Bob Seger,7648
Sepultura,14509
Sex Pistols,19043
Shakin' Stevens,4083
Shinedown,12532
Silverchair,15116
Simon & Garfunkel,12354
Simple Minds,17040
Simple Plan,10001
Skid Row (American band),8473
Skillet (band),11927
Slade,20354
Slayer,26351
Slipknot (band),22998
Sly and the Family Stone,9145
Small Faces,7529
Smash Mouth,9152
The Smashing Pumpkins,21144
The Smiths,15048
Smokie (band),4634
Snow Patrol,10412
Social Distortion,8924
Sonic Youth,12248
Soundgarden,20273
Bruce Springsteen,32754
Billy Squier,4217
Staind,7266
Ringo Starr,22291
Starset,7607
Starship (band),5652
Status Quo (band),9831
Steely Dan,10014
Steppenwolf (band),3645
Steve Miller Band,4272
Rod Stewart,20286
Sting (musician),17441
The Stone Roses,9979
Stone Sour,6717
Stone Temple Pilots,10125
The Strokes,10506
Styx (band),8677
Sublime (band),7561
Sublime with Rome,5596
Sum 41,32226
Supertramp,7947
Survivor (band),6998
The Sweet,10232
System of a Down,18321
T. Rex (band),10206
Talking Heads,8086
James Taylor,13664
Ten Years After,2675
Tenacious D,18013
Tesla (band),4630
Theory of a Deadman,6052
Thin Lizzy,14363
Third Eye Blind,13640
Thirty Seconds to Mars,10516
George Thorogood,6294
Thousand Foot Krutch,7032
Three Days Grace,19958
Three Dog Night,5691
Tool (band),13437
Toto (band),10815
Traffic (band),4805
The Tragically Hip,9943
Train (band),11778
Traveling Wilburys,9045
Travis (band),7190
Trivium (band),14157
Twenty One Pilots,31121
Twisted Sister,6953
U2,42512
UB40,10805
Uriah Heep (band),10651
The Used,8177
Steve Vai,17400
Ritchie Valens,6029
Vampire Weekend,10243
Van Halen,17210
Van Zant (band),10
Stevie Ray Vaughan,16345
Velvet Revolver,9859
The Velvet Underground,15038
The Verve,7038
Gene Vincent,6842
Volbeat,6195
Joe Walsh,11356
Warrant (American band),4733
W.A.S.P. (band),6098
Weezer,26378
Jack White,22419
The White Stripes,27641
White Zombie (band),4355
Whitesnake,26754
The Who,29279
Paul McCartney and Wings,10820
Steve Winwood,8209
X (American band),4897
X Ambassadors,5482
The Yardbirds,8377
Yes (band),21266
Neil Young,27042
Frank Zappa,32992
Rob Zombie,19778
The Zombies,9254
ZZ Top,10012
